Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years’ time?,What do you think the average income for the class with be in ten years’ time?,What is the ideal age to get married?,When did you start your studies at Fontys?
5-9-2017 13:14:09,milk and nuts,Xiaomi mi5,male,dutch,bike,Technology,,8,45 dollar,150k,over 9000 dollars per hour,,2014
5-9-2017 13:14:14,m&ms,a chinese one,"trigender pyrofox, from the forest planet",Dunch,I didn't,bullshitting,Every time north korea launches a missile,I trou-don't,over 9000,12_000_000,they  will be unemployed,,too long ago to remember
5-9-2017 13:14:16,White,Samsung,Did you just asume my gender?,Dutch,Train and bus,Software,NOT,too much,100,over 9000,50k,,2014
5-9-2017 13:14:21,white chocolate,LG,Male,Dutch,By train and bus,Software Engineering,twice a day,something like 4,idk,25000,26000,,2014
5-9-2017 13:14:21,Milk,Android,Helicopter,Dutch,OV,Software,often,5,50 euro,40k,no clue,,2015
5-9-2017 13:14:44,-,Smartphone,Male,Dutch,Train,ICT & Software,No count,No idea,30 euros,100.000,50000,,Feb 2014
5-9-2017 13:14:46,White,OnePlus One,Non-binary,Dutch,Public Transport,Software Engineering,Rarely,N/A,Unknown,50k,80k,,Looong ago
5-9-2017 13:14:51,White,Samsung 6 Edge,Male,Dutch,Train,Software Engineering,once a week,4,50 euro,BIG MONEY,BIG MONEY +1,,2013
5-9-2017 13:14:53,White,Oneplus 3,Male,Dutch,Bike,Software Engineering,1x a month,20,too much,One hunderd million trillion dollars,$50,,2012
5-9-2017 13:15:49,Milk,Samsung Galaxy S8,Male,Dutch,Train,Software Engineering,Couple times per hour,4,$154 ,$2661,Too much,,September 1st 2014
5-9-2017 13:15:55,milk,a black one,male,dutch,bus and train,software engineering,"a couple of times per day, depends on the weather and how many birds were outside my window in the morning",like 8 or so,10 397.9873¥,not enough,integer overflow,,1 jan 1970
5-9-2017 13:16:41,Milk,OnePlus 3,Male,Dutch,Annoyed,Software Engineering,1-20 times a day,30,€70,€42.000,€36.000,,2014
5-9-2017 13:17:39,Duo penotti,Nokia,Fish,Oceania,Horse,Gender studies,Everyday,"Fish don't wear trouwers, moron",One Turtle,3 nibbles,2 nibbles,,Not
5-9-2017 13:20:35,milk,apple,male,British,walk,ICT,never,7,200,40000,40000,,2015
5-9-2017 13:22:13,White,Sony xperia z3 compact,Male,Dutch,Fontys,Applied Data Science,Daily,420,over 9000,1000000,10000000,,6969
6-9-2017 12:57:06,white,samsung,male,Dutch,by car,software engineering,30-40 min,8,€200,€1.000.000,€75.000,,2014
6-9-2017 12:57:22,BBW,Huawei,Male,Dutch,Public Transport (bus & train),Software,never,8,50,120000,55000,,2015
6-9-2017 12:57:33,White,Android,Male,Dutch,Train,Software Engineering,Way too often,10,€120,?,?,,2014
6-9-2017 12:58:09,Dark,iPhone,Male,Dutch,By bike,Software Engineering,Daily,20,€100,€500.000,€100.000,,2014
6-9-2017 12:58:41,Pure,Samsung,Male,Dutch,Motorcycle,Software Engineering,once a day,8,380 euro,80000,50000,,February 2015
6-9-2017 12:59:13,Milk,iPhone 7,Male,Dutch,Bicycle,Software Engineering,Weekly,6,80,50.000,50.000,,2015
6-9-2017 12:59:15,Milk,iPhone,Male,Dutch,Car,Media Design,5 times a day,6,€50,2500,28002,,q
